Inside Mgt No.,Co. code,Business pattern code,Line No.,Ref. origin type,Sales actual Mgt No.,Order Mgt No.,Sales slip No.,Ord No.,Accpt count,Receiving check No.,Chargeable supply No.,Temp. order No.,Bad disposal history slip No.,Bad disposal history correction count,Bad disposal history correction type,Exception cost history slip No.,Exception cost history correction count,Exception cost history correction type,Generation Proc type,Cust code,Cust item No.,Cust item name,Last delivery place code,Cust order No.,Plant code,Item No.,Item name,UC,UC type,Qt.,Measure unit,Amt,Sales date,Consumption tax code,Accnt interface flag,Accnt IF EXEC date,AiIF record type column value(debtor),AiIF record type column value(creditor),Ai slip type(debtor),Ai slip type(creditor),Ai issue section(debtor),Ai issue section(creditor),Ai calculation item(debtor),Ai calculation item(creditor),Ai auxiliary item(debtor),Ai auxiliary item(creditor),Ai charge division code(debtor),Ai charge division code(creditor),Ai detail summary(debtor),Ai detail summary(creditor),Ai detail outline name type,Ai consumption tax judgment type(debtor),Ai consumption tax judgment type(creditor),Accnt IF EXEC date,Including tax or Excluding tax type,Tax rates 1,Tax rates 2,Tax rates 3,Currency code,Create slip type,Slip Mgt company code,Ship returned goods flag,Gr company type,Dealings Div.,Dealings Gr type,Bad disposal type,Cost processing type,Partner code,UC Mgt company code,UC acquisition destination type,UC acquisition destination traders code,UC basic date,UC basic Qt.,Journalizing judgment type,Invoice No.,BOItype,ASIA IF EXEC date
"72042","50","A021","1","1","500000072187","50OCN0000113985","50SLD0000167392","","0","0","","","","0","0","","0","0","1","D20410","49189-20112","HOUSING  BEARING","ZZ","E18120499","52","49189-20112","HOUSING  BEARING","305.2","2","720","pcs","219744","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","720","1","9019040219","","2019/05/02"
"72043","50","A022","1","1","500000072179","50OCN0000103923","50SLD0000167372","","0","0","","","","0","0","","0","0","1","F30110","PW811566","FRONT CASE ASSY","ZZ","6200239294","51","PW811566-EP","FRONT CASE ASSY","1376.88","2","710","pcs","977584.8","2019/04/29","010","0","","","","","","","","12031202","71020000","","2","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","2","0","0","0","0","*","*","*","*","2019/04/26","710","1","E11904005","","2019/05/02"
"72044","50","A022","1","1","500000072180","50OCN0000111930","50SLD0000167373","","0","0","","","","0","0","","0","0","1","F30110","PW811566","FRONT CASE ASSY","ZZ","6200241981","51","PW811566-EP","FRONT CASE ASSY","1376.88","2","10","pcs","13768.8","2019/04/29","010","0","","","","","","","","12031202","71020000","","2","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","2","0","0","0","0","*","*","*","*","2019/04/26","10","1","E11904005","","2019/05/02"
"72045","50","A022","1","1","500000072181","50OCN0000110236","50SLD0000167374","","0","0","","","","0","0","","0","0","1","F30120","PW811592N2K","WATER PUMP KIT (WITH GASKET)","ZZ","3699366A","51","J100-11510-ESP","WATER PUMP ASSY","728.99","2","1000","pcs","728990","2019/04/29","010","0","","","","","","","","12031202","71020000","","2","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","2","0","0","0","0","*","*","*","*","2019/04/26","1000","1","E11904006","","2019/05/02"
"72046","50","A022","1","1","500000072182","50OCN0000110234","50SLD0000167375","","0","0","","","","0","0","","0","0","1","F30120","PW810819","SEAL OIL COOLER","ZZ","3699366A","51","PW810819-ESP","OIL SEAL","36.74","2","60","pcs","2204.4","2019/04/29","010","0","","","","","","","","12031202","71020000","","2","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","2","0","0","0","0","*","*","*","*","2019/04/26","60","1","E11904006","","2019/05/02"
"72047","50","A022","1","1","500000072183","50OCN0000110235","50SLD0000167376","","0","0","","","","0","0","","0","0","1","F30120","PW810914","OIL COOLER ASSY","ZZ","3699366A","51","PW810914-ESP","OIL COOLER ASSY","409.42","2","15","pcs","6141.3","2019/04/29","010","0","","","","","","","","12031202","71020000","","2","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","2","0","0","0","0","*","*","*","*","2019/04/26","15","1","E11904006","","2019/05/02"
"72048","50","A022","1","1","500000072184","50OCN0000110237","50SLD0000167377","","0","0","","","","0","0","","0","0","1","F30120","PW891228N","FRONT CASE ASSY","ZZ","3699366A","51","PW891228N-ESP","FRONT CASE ASSY","1293.37","2","20","pcs","25867.4","2019/04/29","010","0","","","","","","","","12031202","71020000","","2","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","2","0","0","0","0","*","*","*","*","2019/04/26","20","1","E11904006","","2019/05/02"
"72049","50","A021","1","1","500000072185","50OCN0000113683","50SLD0000167378","","0","0","","","","0","0","","0","0","1","D20410","49180-25590","HOUSING BEARING SUB ASSY","ZZ","2B19040028","52","49180-25590","HOUSING BEARING SUB ASSY","407.58","2","360","pcs","146728.8","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/29","360","1","9219040342","","2019/05/02"
"72050","50","A021","1","1","500000072186","50OCN0000113468","50SLD0000167379","","0","0","","","","0","0","","0","0","1","D20410","49373-25590","HOUSING BEARING SUB ASSY","ZZ","2B19040028","52","49373-25590","HOUSING BEARING SUB ASSY","369.28","2","504","pcs","186117.12","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/28","504","1","9219040328","","2019/05/02"
"72051","50","A021","1","1","500000072321","50OCN0000113281","50SLD0000167560","","0","0","","","","0","0","","0","0","1","D20113","8982446240","BRACKET ASM;CAM NO.1","ZZ","DMJ4800417","51","898244-6240","BRACKET ASM;CAM NO.1","202.48","2","600","pcs","121488","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","600","1","5019040388","","2019/05/02"
"72052","50","A021","1","1","500000072322","50OCN0000113284","50SLD0000167561","","0","0","","","","0","0","","0","0","1","D20113","8982446250","BRACKET ASM;CAM NO.2","ZZ","DMJ4800420","51","898244-6250","BRACKET ASM;CAM NO.2","174.71","2","600","pcs","104826","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","600","1","5019040388","","2019/05/02"
"72053","50","A021","1","1","500000072323","50OCN0000113287","50SLD0000167562","","0","0","","","","0","0","","0","0","1","D20113","8982446260","BRACKET ASM;CAM NO.3","ZZ","DMJ4800423","51","898244-6260","BRACKET ASM;CAM NO.3","174.71","2","600","pcs","104826","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","600","1","5019040388","","2019/05/02"
"72054","50","A021","1","1","500000072324","50OCN0000113290","50SLD0000167563","","0","0","","","","0","0","","0","0","1","D20113","8982446270","BRACKET ASM;CAM NO.4","ZZ","DMJ4800426","51","898244-6270","BRACKET ASM;CAM NO.4","174.71","2","600","pcs","104826","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","600","1","5019040388","","2019/05/02"
"72055","50","A021","1","1","500000072325","50OCN0000113293","50SLD0000167564","","0","0","","","","0","0","","0","0","1","D20113","8982446280","BRACKET ASM;CAM NO.5","ZZ","DMJ4800429","51","898244-6280","BRACKET ASM;CAM NO.5","122.15","2","600","pcs","73290","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","600","1","5019040388","","2019/05/02"
"72056","50","A021","1","1","500000072326","50OCN0000113584","50SLD0000167565","","0","0","","","","0","0","","0","0","1","D20110","8982481601","GEAR ASM;CAMSHAF","ZZ","FKJ4403226","51","898248-1601","GEAR ASM; CAMSHAFT  INLET MAIN","167.16","2","120","pcs","20059.2","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","120","1","5019040385","","2019/05/02"
"72057","50","A021","1","1","500000072327","50OCN0000113583","50SLD0000167566","","0","0","","","","0","0","","0","0","1","D20110","8982481601","GEAR ASM;CAMSHAF","ZZ","FBJ4402275","51","898248-1601","GEAR ASM; CAMSHAFT  INLET MAIN","167.16","2","90","pcs","15044.4","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","90","1","5019040385","","2019/05/02"
"72058","50","A021","1","1","500000072328","50OCN0000113582","50SLD0000167567","","0","0","","","","0","0","","0","0","1","D20110","8982481601","GEAR ASM;CAMSHAF","ZZ","DFJ4402907","51","898248-1601","GEAR ASM; CAMSHAFT  INLET MAIN","167.16","2","90","pcs","15044.4","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","90","1","5019040385","","2019/05/02"
"72059","50","A021","1","1","500000072329","50OCN0000113510","50SLD0000167568","","0","0","","","","0","0","","0","0","1","D20110","8982481601","GEAR ASM;CAMSHAF","ZZ","DFJ4402747","51","898248-1601","GEAR ASM; CAMSHAFT  INLET MAIN","167.16","2","30","pcs","5014.8","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","30","1","5019040385","","2019/05/02"
"72060","50","A021","1","1","500000072330","50OCN0000113587","50SLD0000167569","","0","0","","","","0","0","","0","0","1","D20110","8982481601","GEAR ASM;CAMSHAF","ZZ","FKJ4403227","51","898248-1601","GEAR ASM; CAMSHAFT  INLET MAIN","167.16","2","210","pcs","35103.6","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","210","1","5019050013","","2019/05/02"
"72061","50","A021","1","1","500000072331","50OCN0000113586","50SLD0000167570","","0","0","","","","0","0","","0","0","1","D20110","8982481601","GEAR ASM;CAMSHAF","ZZ","FBJ4402276","51","898248-1601","GEAR ASM; CAMSHAFT  INLET MAIN","167.16","2","180","pcs","30088.8","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","180","1","5019050013","","2019/05/02"
"72062","50","A021","1","1","500000072332","50OCN0000113585","50SLD0000167571","","0","0","","","","0","0","","0","0","1","D20110","8982481601","GEAR ASM;CAMSHAF","ZZ","DFJ4402908","51","898248-1601","GEAR ASM; CAMSHAFT  INLET MAIN","167.16","2","30","pcs","5014.8","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","30","1","5019050013","","2019/05/02"
"72063","50","A021","1","1","500000072333","50OCN0000113591","50SLD0000167572","","0","0","","","","0","0","","0","0","1","D20110","8982481612","GEAR ASM;CAM;SUB","ZZ","FKJ4403228","51","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","98.28","2","120","pcs","11793.6","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","120","1","5019040385","","2019/05/02"
"72064","50","A021","1","1","500000072334","50OCN0000113590","50SLD0000167573","","0","0","","","","0","0","","0","0","1","D20110","8982481612","GEAR ASM;CAM;SUB","ZZ","FBJ4402277","51","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","98.28","2","90","pcs","8845.2","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","90","1","5019040385","","2019/05/02"
"72065","50","A021","1","1","500000072335","50OCN0000113589","50SLD0000167574","","0","0","","","","0","0","","0","0","1","D20110","8982481612","GEAR ASM;CAM;SUB","ZZ","DFJ4402910","51","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","98.28","2","90","pcs","8845.2","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","90","1","5019040385","","2019/05/02"
"72066","50","A021","1","1","500000072336","50OCN0000113515","50SLD0000167575","","0","0","","","","0","0","","0","0","1","D20110","8982481612","GEAR ASM;CAM;SUB","ZZ","DFJ4402749","51","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","98.28","2","30","pcs","2948.4","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","30","1","5019040385","","2019/05/02"
"72067","50","A021","1","1","500000072337","50OCN0000113594","50SLD0000167576","","0","0","","","","0","0","","0","0","1","D20110","8982481612","GEAR ASM;CAM;SUB","ZZ","FKJ4403229","51","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","98.28","2","210","pcs","20638.8","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","210","1","5019050013","","2019/05/02"
"72068","50","A021","1","1","500000072338","50OCN0000113593","50SLD0000167577","","0","0","","","","0","0","","0","0","1","D20110","8982481612","GEAR ASM;CAM;SUB","ZZ","FBJ4402278","51","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","98.28","2","180","pcs","17690.4","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","180","1","5019050013","","2019/05/02"
"72069","50","A021","1","1","500000072339","50OCN0000113592","50SLD0000167578","","0","0","","","","0","0","","0","0","1","D20110","8982481612","GEAR ASM;CAM;SUB","ZZ","DFJ4402911","51","898248-1612","GEAR ASM; CAMSHAFT  INLET SUB","98.28","2","30","pcs","2948.4","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","30","1","5019050013","","2019/05/02"
"72070","50","A021","1","1","500000072340","50OCN0000113625","50SLD0000167579","","0","0","","","","0","0","","0","0","1","D20120","8983153723","BRAKE ASM;FRONT (STD)","ZZ","DDK4293400","51","898315-3723","BRAKE ASSY Ft RH (STD)","9396","2","12","pcs","112752","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","12","1","5019050003","","2019/05/02"
"72071","50","A021","1","1","500000072341","50OCN0000113627","50SLD0000167580","","0","0","","","","0","0","","0","0","1","D20120","8983153733","BRAKE ASM;FRONT (STD)","ZZ","DDK4293402","51","898315-3733","BRAKE ASSY Ft LH (STD)","9396","2","12","pcs","112752","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","12","1","5019050003","","2019/05/02"
"72072","50","A021","1","1","500000072342","50OCN0000110633","50SLD0000167581","","0","0","","","","0","0","","0","0","1","D20122","8983156983","BRAKE ASM;REAR;F","ZZ","PGK4000037","51","898315-6983","BRAKE ASSY FRr RH (STD)","9975","2","6","pcs","59850","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","6","1","5019050005","","2019/05/02"
"72073","50","A021","1","1","500000072343","50OCN0000110636","50SLD0000167582","","0","0","","","","0","0","","0","0","1","D20122","8983156993","BRAKE ASM:REAR;F","ZZ","PGK4000040","51","898315-6993","BRAKE ASSY FRr LH (STD)","9975","2","6","pcs","59850","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","6","1","5019050005","","2019/05/02"
"72074","50","A021","1","1","500000072344","50OCN0000110639","50SLD0000167583","","0","0","","","","0","0","","0","0","1","D20122","8983157023","BRAKE ASM","ZZ","PGK4000043","51","898315-7023","BRAKE ASSY FRr RH (ABS)","10005","2","6","pcs","60030","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","6","1","5019050005","","2019/05/02"
"72075","50","A021","1","1","500000072345","50OCN0000110642","50SLD0000167584","","0","0","","","","0","0","","0","0","1","D20122","8983157033","BRAKE ASM","ZZ","PGK4000046","51","898315-7033","BRAKE ASSY FRr LH (ABS)","10005","2","12","pcs","120060","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","12","1","5019050005","","2019/05/02"
"72076","50","A021","1","1","500000072346","50OCN0000113630","50SLD0000167585","","0","0","","","","0","0","","0","0","1","D20120","8983157052","BRAKE ASM;REAR;F (STD)","ZZ","DDK4293405","51","898315-7052","BRAKE ASSY FRr RH (STD)","9975","2","12","pcs","119700","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","12","1","5019050003","","2019/05/02"
"72077","50","A021","1","1","500000072347","50OCN0000113631","50SLD0000167586","","0","0","","","","0","0","","0","0","1","D20120","8983157062","BRAKE ASM;REAR;F (STD)","ZZ","DDK4293406","51","898315-7062","BRAKE ASSY FRr LH (STD)","9975","2","12","pcs","119700","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","12","1","5019050003","","2019/05/02"
"72078","50","A021","1","1","500000072348","50OCN0000113597","50SLD0000167587","","0","0","","","","0","0","","0","0","1","D20110","8983518020","GEAR;CRANKSHAFT","ZZ","FKJ4403230","51","898351-8020","GEAR;CRANK","265.29","2","360","pcs","95504.4","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","360","1","5019050014","","2019/05/02"
"72079","50","A021","1","1","500000072349","50OCN0000113603","50SLD0000167588","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","FKJ4403232","51","898351-8040","GEAR;SUPPLY PUMP","204","2","210","pcs","42840","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","210","1","5019050014","","2019/05/02"
"72080","50","A021","1","1","500000072350","50OCN0000113841","50SLD0000167589","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","FKJ4403417","51","898351-8040","GEAR;SUPPLY PUMP","204","2","120","pcs","24480","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","120","1","5019050014","","2019/05/02"
"72081","50","A021","1","1","500000072351","50OCN0000113601","50SLD0000167590","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","DFJ4402914","51","898351-8040","GEAR;SUPPLY PUMP","204","2","60","pcs","12240","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","60","1","5019050014","","2019/05/02"
"72082","50","A021","1","1","500000072352","50OCN0000113839","50SLD0000167591","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","DFJ4403031","51","898351-8040","GEAR;SUPPLY PUMP","204","2","45","pcs","9180","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","45","1","5019050014","","2019/05/02"
"72083","50","A021","1","1","500000072353","50OCN0000113840","50SLD0000167592","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","FBJ4402502","51","898351-8040","GEAR;SUPPLY PUMP","204","2","45","pcs","9180","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","45","1","5019050014","","2019/05/02"
"72084","50","A021","1","1","500000072354","50OCN0000113602","50SLD0000167593","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","FBJ4402281","51","898351-8040","GEAR;SUPPLY PUMP","204","2","30","pcs","6120","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","30","1","5019050014","","2019/05/02"
"72085","50","A021","1","1","500000072355","50OCN0000113604","50SLD0000167594","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","DFJ4402915","51","898382-8360","WATER PUMP ASSY","449.87","2","100","pcs","44987","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","100","1","5019040384","","2019/05/02"
"72086","50","A021","1","1","500000072356","50OCN0000113605","50SLD0000167595","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","FBJ4402282","51","898382-8360","WATER PUMP ASSY","449.87","2","100","pcs","44987","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","100","1","5019040386","","2019/05/02"
"72087","50","A021","1","1","500000072357","50OCN0000113606","50SLD0000167596","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","FKJ4403233","51","898382-8360","WATER PUMP ASSY","449.87","2","100","pcs","44987","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","100","1","5019040386","","2019/05/02"
"72088","50","A021","1","1","500000072358","50OCN0000113607","50SLD0000167597","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","FBJ4402283","51","898382-8360","WATER PUMP ASSY","449.87","2","100","pcs","44987","2019/05/01","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/01","100","1","5019050001","","2019/05/02"
"72089","50","A021","1","1","500000072359","50OCN0000113608","50SLD0000167598","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","FKJ4403234","51","898382-8360","WATER PUMP ASSY","449.87","2","100","pcs","44987","2019/05/01","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/01","100","1","5019050001","","2019/05/02"
"72090","50","A021","1","1","500000072360","50OCN0000113609","50SLD0000167599","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","FKJ4403235","51","898382-8360","WATER PUMP ASSY","449.87","2","100","pcs","44987","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","100","1","5019050013","","2019/05/02"
"72091","50","A021","1","1","500000072361","50OCN0000110993","50SLD0000167600","","0","0","","","","0","0","","0","0","1","D20121","8984823710","BRAKE ASSY FRr RH (STD)","ZZ","KG94001038","51","898482-3710","BRAKE ASSY FRr RH (STD)","9575","2","18","pcs","172350","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","18","1","5019050002","","2019/05/02"
"72092","50","A021","1","1","500000072362","50OCN0000110996","50SLD0000167601","","0","0","","","","0","0","","0","0","1","D20121","8984823770","BRAKE ASSY FRr LH (STD)","ZZ","KG94001041","51","898482-3770","BRAKE ASSY FRr LH (STD)","9575","2","18","pcs","172350","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","18","1","5019050002","","2019/05/02"
"72093","50","A021","1","1","500000072363","50OCN0000110997","50SLD0000167602","","0","0","","","","0","0","","0","0","1","D20121","8984823800","BRAKE ASSY RRr LH (STD)","ZZ","KG94001042","51","898482-3800","BRAKE ASSY RRr LH (STD)","9289","2","6","pcs","55734","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","6","1","5019040379","","2019/05/02"
"72094","50","A021","1","1","500000072364","50OCN0000110998","50SLD0000167603","","0","0","","","","0","0","","0","0","1","D20121","8984823830","BRAKE ASSY RRr RH (STD)","ZZ","KG94001043","51","898482-3830","BRAKE ASSY RRr RH (STD)","9289","2","6","pcs","55734","2019/04/30","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/30","6","1","5019040379","","2019/05/02"
"72095","50","A021","1","1","500000072365","50OCN0000110999","50SLD0000167604","","0","0","","","","0","0","","0","0","1","D20121","8984823830","BRAKE ASSY RRr RH (STD)","ZZ","KG94001044","51","898482-3830","BRAKE ASSY RRr RH (STD)","9289","2","12","pcs","111468","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","12","1","5019050002","","2019/05/02"
"72096","50","A021","1","1","500000072366","50OCN0000111001","50SLD0000167605","","0","0","","","","0","0","","0","0","1","D20121","8984823840","BRAKE ASSY RRr LH (STD)","ZZ","KG94001046","51","898482-3840","BRAKE ASSY RRr LH (STD)","9289","2","12","pcs","111468","2019/05/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/02","12","1","5019050002","","2019/05/02"
