Inside Mgt No.,Co. code,Business pattern code,Line No.,Ref. origin type,Sales actual Mgt No.,Order Mgt No.,Sales slip No.,Ord No.,Accpt count,Receiving check No.,Chargeable supply No.,Temp. order No.,Bad disposal history slip No.,Bad disposal history correction count,Bad disposal history correction type,Exception cost history slip No.,Exception cost history correction count,Exception cost history correction type,Generation Proc type,Cust code,Cust item No.,Cust item name,Last delivery place code,Cust order No.,Plant code,Item No.,Item name,UC,UC type,Qt.,Measure unit,Amt,Sales date,Consumption tax code,Accnt interface flag,Accnt IF EXEC date,AiIF record type column value(debtor),AiIF record type column value(creditor),Ai slip type(debtor),Ai slip type(creditor),Ai issue section(debtor),Ai issue section(creditor),Ai calculation item(debtor),Ai calculation item(creditor),Ai auxiliary item(debtor),Ai auxiliary item(creditor),Ai charge division code(debtor),Ai charge division code(creditor),Ai detail summary(debtor),Ai detail summary(creditor),Ai detail outline name type,Ai consumption tax judgment type(debtor),Ai consumption tax judgment type(creditor),Accnt IF EXEC date,Including tax or Excluding tax type,Tax rates 1,Tax rates 2,Tax rates 3,Currency code,Create slip type,Slip Mgt company code,Ship returned goods flag,Gr company type,Dealings Div.,Dealings Gr type,Bad disposal type,Cost processing type,Partner code,UC Mgt company code,UC acquisition destination type,UC acquisition destination traders code,UC basic date,UC basic Qt.,Journalizing judgment type,Invoice No.,BOItype,ASIA IF EXEC date
"95358","50","A021","1","1","500000095516","50OCN0000132318","50SLD0000214295","","0","0","","","","0","0","","0","0","1","D20230","MR493391","LEVER; RR BRAKE SHOE SLACK ADJUSTER; RH","ZZ","L99065683E","51","G138-00630-SP","LEVER: a/adjuster RH","7.7","2","9","pcs","69.3","2019/10/18","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/10/18","9","1","5019100268","","2019/10/19"
"95359","50","A021","1","1","500000095517","50OCN0000132317","50SLD0000214296","","0","0","","","","0","0","","0","0","1","D20230","MR493390","LEVER;RR BRAKE SHOE SLACK ADJ","ZZ","L99065673E","51","G138-00730-SP","LEVER: a/adjuster LH","7.7","2","6","pcs","46.2","2019/10/18","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/10/18","6","1","5019100268","","2019/10/19"
"95360","50","A021","1","1","500000095518","50OCN0000133721","50SLD0000214297","","0","0","","","","0","0","","0","0","1","D20230","MR493382","CUP;RR BRAKE SHOE SPRING","ZZ","L99140003E","51","G139-02120-SP","WASHER: shoe hold","15.89","2","16","pcs","254.24","2019/10/18","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/10/18","16","1","5019100268","","2019/10/19"
"95361","50","A021","1","1","500000095519","50OCN0000132314","50SLD0000214298","","0","0","","","","0","0","","0","0","1","D20230","MR493383","PIN;RR BRAKE","ZZ","L99065663E","51","G141-01630-SP","PIN SHOE HOLD","11.27","2","21","pcs","236.67","2019/10/18","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/10/18","21","1","5019100268","","2019/10/19"
"95362","50","A021","1","1","500000095520","50OCN0000132311","50SLD0000214299","","0","0","","","","0","0","","0","0","1","D20230","MR493377","BOLT;RR BRAKE","ZZ","L99065633E","51","G148-03500-SP","BOLT WITH SP/WASHER","9.9","2","2","pcs","19.8","2019/10/18","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/10/18","2","1","5019100268","","2019/10/19"
"95363","50","A021","1","1","500000095521","50OCN0000132312","50SLD0000214300","","0","0","","","","0","0","","0","0","1","D20230","MR493381","SPRING;R/BRK SHOE HOLD-DN","ZZ","L99065643E","51","G167-12130-SP","SPRING: shoe hold","8.75","2","54","pcs","472.5","2019/10/18","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/10/18","54","1","5019100268","","2019/10/19"
"95364","50","A021","1","1","500000095522","50OCN0000132316","50SLD0000214301","","0","0","","","","0","0","","0","0","1","D20230","MR493385","ADJUSTER;RR BRAKE SHOE SLACK;RH","ZZ","L99065553D","51","G199-13940-SP","BOLT ASSY: adjuster RH","61.4","2","1","pcs","61.4","2019/10/18","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/10/18","1","1","5019100268","","2019/10/19"
"95365","50","A021","1","1","500000095523","50OCN0000132319","50SLD0000214302","","0","0","","","","0","0","","0","0","1","D20230","MR493393","MR493393","ZZ","L99065693E","51","G200-43651-SP","W/CYL ASSY","145.84","2","5","pcs","729.2","2019/10/18","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/10/18","5","1","5019100268","","2019/10/19"
"95366","50","A021","1","1","500000095524","50OCN0000135260","50SLD0000214303","","0","0","","","","0","0","","0","0","1","D20230","MD343566","OIL SEAL; BALANCER SHAFT; FR RH","ZZ","L99177513D","51","MD343566-SP","OIL SEAL","35.03","2","184","pcs","6445.52","2019/10/18","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/10/18","184","1","5019100267","","2019/10/19"
"95367","50","A021","1","1","500000095525","50OCN0000133709","50SLD0000214304","","0","0","","","","0","0","","0","0","1","D20230","MD343566","OIL SEAL; BALANCER SHAFT; FR RH","ZZ","L99103733D","51","MD343566-SP","OIL SEAL","35.03","2","17","pcs","595.51","2019/10/18","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/10/18","17","1","5019100266","","2019/10/19"
