Inside Mgt No.,Co. code,Business pattern code,Line No.,Ref. origin type,Sales actual Mgt No.,Order Mgt No.,Sales slip No.,Ord No.,Accpt count,Receiving check No.,Chargeable supply No.,Temp. order No.,Bad disposal history slip No.,Bad disposal history correction count,Bad disposal history correction type,Exception cost history slip No.,Exception cost history correction count,Exception cost history correction type,Generation Proc type,Cust code,Cust item No.,Cust item name,Last delivery place code,Cust order No.,Plant code,Item No.,Item name,UC,UC type,Qt.,Measure unit,Amt,Sales date,Consumption tax code,Accnt interface flag,Accnt IF EXEC date,AiIF record type column value(debtor),AiIF record type column value(creditor),Ai slip type(debtor),Ai slip type(creditor),Ai issue section(debtor),Ai issue section(creditor),Ai calculation item(debtor),Ai calculation item(creditor),Ai auxiliary item(debtor),Ai auxiliary item(creditor),Ai charge division code(debtor),Ai charge division code(creditor),Ai detail summary(debtor),Ai detail summary(creditor),Ai detail outline name type,Ai consumption tax judgment type(debtor),Ai consumption tax judgment type(creditor),Accnt IF EXEC date,Including tax or Excluding tax type,Tax rates 1,Tax rates 2,Tax rates 3,Currency code,Create slip type,Slip Mgt company code,Ship returned goods flag,Gr company type,Dealings Div.,Dealings Gr type,Bad disposal type,Cost processing type,Partner code,UC Mgt company code,UC acquisition destination type,UC acquisition destination traders code,UC basic date,UC basic Qt.,Journalizing judgment type,Invoice No.,BOItype,ASIA IF EXEC date
"97139","50","A021","1","1","500000097750","50OCN0000139295","50SLD0000218977","","0","0","","","","0","0","","0","0","1","D20120","8983153733","BRAKE ASM;FRONT (STD)","ZZ","DDKN200738","51","898315-3733","BRAKE ASSY Ft LH (STD)","9396","2","12","pcs","112752","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","12","1","5019110092","","2019/11/08"
"97140","50","A021","1","1","500000097751","50OCN0000139298","50SLD0000218978","","0","0","","","","0","0","","0","0","1","D20120","8983157052","BRAKE ASM;REAR;F (STD)","ZZ","DDKN200741","51","898315-7052","BRAKE ASSY FRr RH (STD)","9975","2","12","pcs","119700","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","12","1","5019110092","","2019/11/08"
"97141","50","A021","1","1","500000097752","50OCN0000139299","50SLD0000218979","","0","0","","","","0","0","","0","0","1","D20120","8983157062","BRAKE ASM;REAR;F (STD)","ZZ","DDKN200742","51","898315-7062","BRAKE ASSY FRr LH (STD)","9975","2","12","pcs","119700","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","12","1","5019110092","","2019/11/08"
"97142","50","A021","1","1","500000097753","50OCN0000139216","50SLD0000218980","","0","0","","","","0","0","","0","0","1","D20110","8983518020","GEAR;CRANKSHAFT","ZZ","DFJN400083","51","898351-8020","GEAR;CRANK","259.98","2","270","pcs","70194.6","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","270","1","5019110097","","2019/11/08"
"97143","50","A021","1","1","500000097754","50OCN0000139366","50SLD0000218981","","0","0","","","","0","0","","0","0","1","D20110","8983518020","GEAR;CRANKSHAFT","ZZ","DFJN400243","51","898351-8020","GEAR;CRANK","259.98","2","180","pcs","46796.4","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","180","1","5019110097","","2019/11/08"
"97144","50","A021","1","1","500000097755","50OCN0000139217","50SLD0000218982","","0","0","","","","0","0","","0","0","1","D20110","8983518020","GEAR;CRANKSHAFT","ZZ","FKJN400121","51","898351-8020","GEAR;CRANK","259.98","2","150","pcs","38997","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","150","1","5019110097","","2019/11/08"
"97145","50","A021","1","1","500000097756","50OCN0000139368","50SLD0000218983","","0","0","","","","0","0","","0","0","1","D20110","8983518020","GEAR;CRANKSHAFT","ZZ","FKJN400302","51","898351-8020","GEAR;CRANK","259.98","2","75","pcs","19498.5","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","75","1","5019110097","","2019/11/08"
"97146","50","A021","1","1","500000097757","50OCN0000139367","50SLD0000218984","","0","0","","","","0","0","","0","0","1","D20110","8983518020","GEAR;CRANKSHAFT","ZZ","FBJN400114","51","898351-8020","GEAR;CRANK","259.98","2","30","pcs","7799.4","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","30","1","5019110097","","2019/11/08"
"97147","50","A021","1","1","500000097758","50OCN0000139220","50SLD0000218985","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","DFJN400084","51","898351-8040","GEAR;SUPPLY PUMP","201.96","2","270","pcs","54529.2","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","270","1","5019110097","","2019/11/08"
"97148","50","A021","1","1","500000097759","50OCN0000139371","50SLD0000218986","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","DFJN400245","51","898351-8040","GEAR;SUPPLY PUMP","201.96","2","180","pcs","36352.8","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","180","1","5019110097","","2019/11/08"
"97149","50","A021","1","1","500000097760","50OCN0000139221","50SLD0000218987","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","FKJN400123","51","898351-8040","GEAR;SUPPLY PUMP","201.96","2","150","pcs","30294","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","150","1","5019110097","","2019/11/08"
"97150","50","A021","1","1","500000097761","50OCN0000139373","50SLD0000218988","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","FKJN400304","51","898351-8040","GEAR;SUPPLY PUMP","201.96","2","75","pcs","15147","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","75","1","5019110097","","2019/11/08"
"97151","50","A021","1","1","500000097762","50OCN0000139372","50SLD0000218989","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","FBJN400115","51","898351-8040","GEAR;SUPPLY PUMP","201.96","2","30","pcs","6058.8","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","30","1","5019110097","","2019/11/08"
"97152","50","A021","1","1","500000097763","50OCN0000139222","50SLD0000218990","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","FKJN400124","51","898382-8360","WATER PUMP ASSY","449.87","2","100","pcs","44987","2019/11/06","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/06","100","1","5019110085","","2019/11/08"
"97153","50","A021","1","1","500000097764","50OCN0000139067","50SLD0000218991","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","DFJO402404","51","898382-8360","WATER PUMP ASSY","449.87","2","100","pcs","44987","2019/11/06","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/06","100","1","5019110085","","2019/11/08"
"97154","50","A021","1","1","500000097765","50OCN0000139068","50SLD0000218992","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","FKJO403231","51","898382-8360","WATER PUMP ASSY","449.87","2","100","pcs","44987","2019/11/06","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/06","100","1","5019110085","","2019/11/08"
"97155","50","A021","1","1","500000097766","50OCN0000139223","50SLD0000218993","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","FKJN400125","51","898382-8360","WATER PUMP ASSY","449.87","2","100","pcs","44987","2019/11/06","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/06","100","1","5019110086","","2019/11/08"
"97156","50","A021","1","1","500000097767","50OCN0000139225","50SLD0000218994","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","FKJN400126","51","898382-8360","WATER PUMP ASSY","449.87","2","100","pcs","44987","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","100","1","5019110094","","2019/11/08"
"97157","50","A021","1","1","500000097768","50OCN0000139224","50SLD0000218995","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","FBJN400046","51","898382-8360","WATER PUMP ASSY","449.87","2","100","pcs","44987","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","100","1","5019110094","","2019/11/08"
"97158","50","A021","1","1","500000097769","50OCN0000139226","50SLD0000218996","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","DFJN400085","51","898382-8360","WATER PUMP ASSY","449.87","2","100","pcs","44987","2019/11/07","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/07","100","1","5019110096","","2019/11/08"
"97159","50","A021","1","1","500000097770","50OCN0000135688","50SLD0000218997","","0","0","","","","0","0","","0","0","1","D20130","8983828360","PUMP ASM; WATER","ZZ","1KOA102200","51","898382-8360-SP","WATER PUMP ASSY","483.78","2","31","pcs","14997.18","2019/11/06","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/06","31","1","5019110075","","2019/11/08"
"97160","50","A021","1","1","500000097169","50OCN0000139176","50SLD0000217917","","0","0","","","","0","0","","0","0","1","D20410","49373-25591","HOUSING BEARING ASSY","ZZ","2B19100022","52","49373-25591-LP","HOUSING BEARING ASSY","406.46","2","504","pcs","204855.84","2019/11/02","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/11/02","504","1","9219110013","","2019/11/08"
