Inside Mgt No.,Co. code,Business pattern code,Line No.,Ref. origin type,Sales actual Mgt No.,Order Mgt No.,Sales slip No.,Ord No.,Accpt count,Receiving check No.,Chargeable supply No.,Temp. order No.,Bad disposal history slip No.,Bad disposal history correction count,Bad disposal history correction type,Exception cost history slip No.,Exception cost history correction count,Exception cost history correction type,Generation Proc type,Cust code,Cust item No.,Cust item name,Last delivery place code,Cust order No.,Plant code,Item No.,Item name,UC,UC type,Qt.,Measure unit,Amt,Sales date,Consumption tax code,Accnt interface flag,Accnt IF EXEC date,AiIF record type column value(debtor),AiIF record type column value(creditor),Ai slip type(debtor),Ai slip type(creditor),Ai issue section(debtor),Ai issue section(creditor),Ai calculation item(debtor),Ai calculation item(creditor),Ai auxiliary item(debtor),Ai auxiliary item(creditor),Ai charge division code(debtor),Ai charge division code(creditor),Ai detail summary(debtor),Ai detail summary(creditor),Ai detail outline name type,Ai consumption tax judgment type(debtor),Ai consumption tax judgment type(creditor),Accnt IF EXEC date,Including tax or Excluding tax type,Tax rates 1,Tax rates 2,Tax rates 3,Currency code,Create slip type,Slip Mgt company code,Ship returned goods flag,Gr company type,Dealings Div.,Dealings Gr type,Bad disposal type,Cost processing type,Partner code,UC Mgt company code,UC acquisition destination type,UC acquisition destination traders code,UC basic date,UC basic Qt.,Journalizing judgment type,Invoice No.,BOItype,ASIA IF EXEC date
"83668","50","A021","1","1","500000083754","50OCN0000125854","50SLD0000190653","","0","0","","","","0","0","","0","0","1","D20410","49373-25591","HOUSING BEARING ASSY","ZZ","2B19070021","52","49373-25591-LP","HOUSING BEARING ASSY","406.46","2","132","pcs","53652.72","2019/07/22","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/07/22","132","1","9219070258","","2019/07/26"
"83669","50","A021","1","1","500000084316","50OCN0000126159","50SLD0000191876","","0","0","","","","0","0","","0","0","1","D20410","49173-25556","HOUSING BEARING SUB ASSY","ZZ","2B19070021","52","49173-25556","HOUSING BEARING SUB ASSY","285.97","2","504","pcs","144128.88","2019/07/25","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/07/25","504","1","9019070148","","2019/07/26"
"83670","50","A021","1","1","500000083756","50OCN0000123658","50SLD0000190725","","0","0","","","","0","0","","0","0","1","D20210","1050B375","SLEEVE","ZZ","73M9BD3192","51","1050B375-LP","SLEEVE","46.87","2","216","pcs","10123.92","2019/07/22","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/07/22","216","1","F119070176","","2019/07/26"
"83671","50","A021","1","1","500000083757","50OCN0000123663","50SLD0000190726","","0","0","","","","0","0","","0","0","1","D20210","1050B375","SLEEVE","ZZ","73M9BD3194","51","1050B375-LP","SLEEVE","46.87","2","168","pcs","7874.16","2019/07/23","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/07/23","168","1","F119070181","","2019/07/26"
"83672","50","A021","1","1","500000083758","50OCN0000124348","50SLD0000190727","","0","0","","","","0","0","","0","0","1","D20220","1050B375G","SLEEVE","ZZ","73M9024456","51","1050B375-LP","SLEEVE","47.34","2","30","pcs","1420.2","2019/07/23","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/07/23","30","1","F119070178","","2019/07/26"
"83673","50","A021","1","1","500000083759","50OCN0000123664","50SLD0000190728","","0","0","","","","0","0","","0","0","1","D20210","1050B375","SLEEVE","ZZ","73M9BD3195","51","1050B375-LP","SLEEVE","46.87","2","240","pcs","11248.8","2019/07/23","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/07/23","240","1","F119070184","","2019/07/26"
"83674","50","A021","1","1","500000083760","50OCN0000123689","50SLD0000190729","","0","0","","","","0","0","","0","0","1","D20210","1060A217","CASE ASSY;TIMING CHAIN","ZZ","73M9BD3378","51","1060A217","CASE ASSY  TIMING CHAIN","1137.65","2","134","pcs","152445.1","2019/07/22","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/07/22","134","1","F119070174","","2019/07/26"
"83675","50","A021","1","1","500000083761","50OCN0000123686","50SLD0000190730","","0","0","","","","0","0","","0","0","1","D20210","1060A217","CASE ASSY;TIMING CHAIN","ZZ","73M9BD3387","51","1060A217","CASE ASSY  TIMING CHAIN","1137.65","2","222","pcs","252558.3","2019/07/22","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/07/22","222","1","F119070176","","2019/07/26"
"83676","50","A021","1","1","500000083762","50OCN0000123691","50SLD0000190731","","0","0","","","","0","0","","0","0","1","D20210","1060A217","CASE ASSY;TIMING CHAIN","ZZ","73M9BD3394","51","1060A217","CASE ASSY  TIMING CHAIN","1137.65","2","164","pcs","186574.6","2019/07/23","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/07/23","164","1","F119070181","","2019/07/26"
"83677","50","A021","1","1","500000083763","50OCN0000124352","50SLD0000190732","","0","0","","","","0","0","","0","0","1","D20220","1060A217G","CASE ASSY  TIMING CHAIN","ZZ","73M9024457","51","1060A217","CASE ASSY  TIMING CHAIN","1149.14","2","60","pcs","68948.4","2019/07/23","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/07/23","60","1","F119070177","","2019/07/26"
"83678","50","A021","1","1","500000083764","50OCN0000125649","50SLD0000190733","","0","0","","","","0","0","","0","0","1","D20210","1060A217","CASE ASSY;TIMING CHAIN","ZZ","73L9B00022","51","1060A217","CASE ASSY  TIMING CHAIN","1137.65","2","1","pcs","1137.65","2019/07/23","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/07/23","1","1","F119070189","","2019/07/26"
"83679","50","A021","1","1","500000083765","50OCN0000123692","50SLD0000190734","","0","0","","","","0","0","","0","0","1","D20210","1060A217","CASE ASSY;TIMING CHAIN","ZZ","73M9BD3401","51","1060A217","CASE ASSY  TIMING CHAIN","1137.65","2","232","pcs","263934.8","2019/07/23","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/07/23","232","1","F119070184","","2019/07/26"
"83680","50","A021","1","1","500000083766","50OCN0000123718","50SLD0000190735","","0","0","","","","0","0","","0","0","1","D20210","1064A035X","CASE ASSY OIL PUMP","ZZ","73M9BD3686","51","1064A035","CASE ASSY  OIL PUMP","1157.61","2","40","pcs","46304.4","2019/07/22","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/07/22","40","1","F119070173","","2019/07/26"
"83681","50","A021","1","1","500000083767","50OCN0000123715","50SLD0000190736","","0","0","","","","0","0","","0","0","1","D20210","1064A035X","CASE ASSY OIL PUMP","ZZ","73M9BD3688","51","1064A035","CASE ASSY  OIL PUMP","1157.61","2","40","pcs","46304.4","2019/07/22","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/07/22","40","1","F119070175","","2019/07/26"
"83682","50","A021","1","1","500000083768","50OCN0000123720","50SLD0000190737","","0","0","","","","0","0","","0","0","1","D20210","1064A035X","CASE ASSY OIL PUMP","ZZ","73M9BD3691","51","1064A035","CASE ASSY  OIL PUMP","1157.61","2","35","pcs","40516.35","2019/07/23","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/07/23","35","1","F119070179","","2019/07/26"
