Inside Mgt No.,Co. code,Business pattern code,Line No.,Ref. origin type,Sales actual Mgt No.,Order Mgt No.,Sales slip No.,Ord No.,Accpt count,Receiving check No.,Chargeable supply No.,Temp. order No.,Bad disposal history slip No.,Bad disposal history correction count,Bad disposal history correction type,Exception cost history slip No.,Exception cost history correction count,Exception cost history correction type,Generation Proc type,Cust code,Cust item No.,Cust item name,Last delivery place code,Cust order No.,Plant code,Item No.,Item name,UC,UC type,Qt.,Measure unit,Amt,Sales date,Consumption tax code,Accnt interface flag,Accnt IF EXEC date,AiIF record type column value(debtor),AiIF record type column value(creditor),Ai slip type(debtor),Ai slip type(creditor),Ai issue section(debtor),Ai issue section(creditor),Ai calculation item(debtor),Ai calculation item(creditor),Ai auxiliary item(debtor),Ai auxiliary item(creditor),Ai charge division code(debtor),Ai charge division code(creditor),Ai detail summary(debtor),Ai detail summary(creditor),Ai detail outline name type,Ai consumption tax judgment type(debtor),Ai consumption tax judgment type(creditor),Accnt IF EXEC date,Including tax or Excluding tax type,Tax rates 1,Tax rates 2,Tax rates 3,Currency code,Create slip type,Slip Mgt company code,Ship returned goods flag,Gr company type,Dealings Div.,Dealings Gr type,Bad disposal type,Cost processing type,Partner code,UC Mgt company code,UC acquisition destination type,UC acquisition destination traders code,UC basic date,UC basic Qt.,Journalizing judgment type,Invoice No.,BOItype,ASIA IF EXEC date
"113370","50","A021","1","1","500000113586","50OCN0000155472","50SLD0000251176","","0","0","","","","0","0","","0","0","1","D20120","8979483260","BRAKE ASM;FRONT;","ZZ","DDL2379447","51","897948-3260","BRAKE ASSY Ft RH","9923.16","2","6","pcs","59538.96","2020/03/04","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2020/03/04","6","1","5020030043","","2020/03/09"
"113371","50","A021","1","1","500000113587","50OCN0000155473","50SLD0000251177","","0","0","","","","0","0","","0","0","1","D20120","8979483270","BRAKE ASM;FRONT;","ZZ","DDL2379448","51","897948-3270","BRAKE ASSY Ft LH","9923.16","2","6","pcs","59538.96","2020/03/04","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2020/03/04","6","1","5020030043","","2020/03/09"
"113372","50","A021","1","1","500000113588","50OCN0000155474","50SLD0000251178","","0","0","","","","0","0","","0","0","1","D20120","8979483360","BRAKE ASM;REAR;F","ZZ","DDL2379449","51","897948-3360","BRAKE ASSY Rr RH","12477.32","2","6","pcs","74863.92","2020/03/04","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2020/03/04","6","1","5020030043","","2020/03/09"
"113373","50","A021","1","1","500000113589","50OCN0000155475","50SLD0000251179","","0","0","","","","0","0","","0","0","1","D20120","8979483370","BRAKE ASM;REAR;F","ZZ","DDL2379450","51","897948-3370","BRAKE ASSY Rr LH","12477.32","2","6","pcs","74863.92","2020/03/04","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2020/03/04","6","1","5020030043","","2020/03/09"
"113374","50","A021","1","1","500000113590","50OCN0000155476","50SLD0000251180","","0","0","","","","0","0","","0","0","1","D20120","8979483440","BRAKE ASM;REAR;F","ZZ","DDL2379451","51","897948-3440","BRAKE ASSY FRr RH","12557.32","2","6","pcs","75343.92","2020/03/04","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2020/03/04","6","1","5020030043","","2020/03/09"
"113375","50","A021","1","1","500000113591","50OCN0000155477","50SLD0000251181","","0","0","","","","0","0","","0","0","1","D20120","8979483450","BRAKE ASM;REAR;F","ZZ","DDL2379452","51","897948-3450","BRAKE ASSY FRr LH","12557.32","2","6","pcs","75343.92","2020/03/04","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2020/03/04","6","1","5020030043","","2020/03/09"
"113376","50","A021","1","1","500000113592","50OCN0000153309","50SLD0000251182","","0","0","","","","0","0","","0","0","1","D20111","8980118901","BRACKET COMMON RAIL","ZZ","ANK2000387","51","898011-8901","BRACKET; COMMON RAIL","67.12","2","60","pcs","4027.2","2020/03/04","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2020/03/04","60","1","5020030055","","2020/03/09"
"113377","50","A021","1","1","500000113593","50OCN0000155563","50SLD0000251183","","0","0","","","","0","0","","0","0","1","D20110","8981320560","BRACKET;COMMON R","ZZ","FYK3400241","51","898132-0560","BRACKET; COMMON RAIL","55.6","2","60","pcs","3336","2020/03/05","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2020/03/05","60","1","5020030078","","2020/03/09"
"113378","50","A021","1","1","500000113594","50OCN0000155424","50SLD0000251184","","0","0","","","","0","0","","0","0","1","D20110","8981320560","BRACKET;COMMON R","ZZ","FYK2410037","51","898132-0560","BRACKET; COMMON RAIL","55.6","2","60","pcs","3336","2020/03/05","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2020/03/05","60","1","5020030078","","2020/03/09"
"113379","50","A021","1","1","500000113595","50OCN0000155467","50SLD0000251185","","0","0","","","","0","0","","0","0","1","D20110","8981587152","BRACKET;COMMON R","ZZ","FYK2603118","51","898158-7152","BRACKET; COMMON RAIL","100.39","2","1","pcs","100.39","2020/03/05","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2020/03/05","1","1","5020030082","","2020/03/09"
"113380","50","A021","1","1","500000113596","50OCN0000155468","50SLD0000251186","","0","0","","","","0","0","","0","0","1","D20110","8981655171","PIPE;WATER","ZZ","FYK2603119","51","898165-5171","PIPE; WATER BYPASS","96.63","2","1","pcs","96.63","2020/03/05","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2020/03/05","1","1","5020030082","","2020/03/09"
"113381","50","A021","1","1","500000113597","50OCN0000155565","50SLD0000251187","","0","0","","","","0","0","","0","0","1","D20110","8981655171","PIPE;WATER","ZZ","FYK3400243","51","898165-5171","PIPE; WATER BYPASS","96.63","2","90","pcs","8696.7","2020/03/05","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2020/03/05","90","1","5020030078","","2020/03/09"
"113382","50","A021","1","1","500000113598","50OCN0000155656","50SLD0000251188","","0","0","","","","0","0","","0","0","1","D20110","8981655171","PIPE;WATER","ZZ","FYK3400713","51","898165-5171","PIPE; WATER BYPASS","96.63","2","30","pcs","2898.9","2020/03/05","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2020/03/05","30","1","5020030078","","2020/03/09"
"113383","50","A021","1","1","500000113599","50OCN0000155469","50SLD0000251189","","0","0","","","","0","0","","0","0","1","D20110","8982319070","GEAR ASM;IDLE D","ZZ","FYK2603120","51","898231-9070","GEAR ASM; IDLE D","281.68","2","49","pcs","13802.32","2020/03/05","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2020/03/05","49","1","5020030082","","2020/03/09"
