Inside Mgt No.,Co. code,Business pattern code,Line No.,Ref. origin type,Sales actual Mgt No.,Order Mgt No.,Sales slip No.,Ord No.,Accpt count,Receiving check No.,Chargeable supply No.,Temp. order No.,Bad disposal history slip No.,Bad disposal history correction count,Bad disposal history correction type,Exception cost history slip No.,Exception cost history correction count,Exception cost history correction type,Generation Proc type,Cust code,Cust item No.,Cust item name,Last delivery place code,Cust order No.,Plant code,Item No.,Item name,UC,UC type,Qt.,Measure unit,Amt,Sales date,Consumption tax code,Accnt interface flag,Accnt IF EXEC date,AiIF record type column value(debtor),AiIF record type column value(creditor),Ai slip type(debtor),Ai slip type(creditor),Ai issue section(debtor),Ai issue section(creditor),Ai calculation item(debtor),Ai calculation item(creditor),Ai auxiliary item(debtor),Ai auxiliary item(creditor),Ai charge division code(debtor),Ai charge division code(creditor),Ai detail summary(debtor),Ai detail summary(creditor),Ai detail outline name type,Ai consumption tax judgment type(debtor),Ai consumption tax judgment type(creditor),Accnt IF EXEC date,Including tax or Excluding tax type,Tax rates 1,Tax rates 2,Tax rates 3,Currency code,Create slip type,Slip Mgt company code,Ship returned goods flag,Gr company type,Dealings Div.,Dealings Gr type,Bad disposal type,Cost processing type,Partner code,UC Mgt company code,UC acquisition destination type,UC acquisition destination traders code,UC basic date,UC basic Qt.,Journalizing judgment type,Invoice No.,BOItype,ASIA IF EXEC date
63253,50,A021,1,1,500000063444,50OCN0000105216,50SLD0000149867,,0,0,,,,0,0,,0,0,1,D20130,8983518020,GEAR;CRANK,ZZ,2K1A529100,51,898351-8020-SP,GEAR;CRANK,281.77,2,2,pcs,563.54,2019/02/28,010,0,,,,,,,,12031201,71020000,,1,,,,,0,0,0,010,0,0,0,0,THB,1,50,1,1,0,0,0,0,*,*,*,*,2019/02/28,2,1,5019020400,,2019/03/03
63254,50,A021,1,1,500000063445,50OCN0000105216,50SLD0000149867,,0,0,,,,0,0,,0,0,1,D20130,8983518020,GEAR;CRANK,ZZ,2K1A529100,51,898351-8020-SP,GEAR;CRANK,281.77,2,-2,pcs,-563.54,2019/02/28,010,0,,,,,,,,12031201,71020000,,1,,,,,0,0,0,010,0,0,0,0,THB,1,50,1,1,0,0,0,0,*,*,*,*,2019/02/28,2,1,5019020400,,2019/03/03
63255,50,A021,1,1,500000063446,50OCN0000105216,50SLD0000149869,,0,0,,,,0,0,,0,0,1,D20130,8983518020,GEAR;CRANK,ZZ,2K1A529100,51,898351-8020-SP,GEAR;CRANK,281.77,2,2,pcs,563.54,2019/02/27,010,0,,,,,,,,12031201,71020000,,1,,,,,0,0,0,010,0,0,0,0,THB,1,50,1,1,0,0,0,0,*,*,*,*,2019/02/27,2,1,5019020400,,2019/03/03
63256,50,A021,1,1,500000063692,50OCN0000103722,50SLD0000150266,,0,0,,,,0,0,,0,0,1,D20113,8982446260,BRACKET ASM;CAM NO.3,ZZ,DMJ2800458,51,898244-6260,BRACKET ASM;CAM NO.3,174.71,2,600,pcs,104826,2019/03/02,010,0,,,,,,,,12031201,71020000,,1,,,,,0,0,0,010,0,0,0,0,THB,1,50,1,1,0,0,0,0,*,*,*,*,2019/03/02,600,1,5019030032,,2019/03/03
63257,50,A021,1,1,500000063693,50OCN0000103727,50SLD0000150267,,0,0,,,,0,0,,0,0,1,D20113,8982446270,BRACKET ASM;CAM NO.4,ZZ,DMJ2800463,51,898244-6270,BRACKET ASM;CAM NO.4,174.71,2,600,pcs,104826,2019/03/02,010,0,,,,,,,,12031201,71020000,,1,,,,,0,0,0,010,0,0,0,0,THB,1,50,1,1,0,0,0,0,*,*,*,*,2019/03/02,600,1,5019030032,,2019/03/03
63258,50,A021,1,1,500000063694,50OCN0000103732,50SLD0000150268,,0,0,,,,0,0,,0,0,1,D20113,8982446280,BRACKET ASM;CAM NO.5,ZZ,DMJ2800468,51,898244-6280,BRACKET ASM;CAM NO.5,122.15,2,600,pcs,73290,2019/03/02,010,0,,,,,,,,12031201,71020000,,1,,,,,0,0,0,010,0,0,0,0,THB,1,50,1,1,0,0,0,0,*,*,*,*,2019/03/02,600,1,5019030032,,2019/03/03
63259,50,A021,1,1,500000063695,50OCN0000104968,50SLD0000150269,,0,0,,,,0,0,,0,0,1,D20110,8982481601,GEAR ASM;CAMSHAF,ZZ,FKJ2403589,51,898248-1601,GEAR ASM; CAMSHAFT  INLET MAIN,167.16,2,300,pcs,50148,2019/03/02,010,0,,,,,,,,12031201,71020000,,1,,,,,0,0,0,010,0,0,0,0,THB,1,50,1,1,0,0,0,0,*,*,*,*,2019/03/02,300,1,5019030031,,2019/03/03
63260,50,A021,1,1,500000063696,50OCN0000104971,50SLD0000150270,,0,0,,,,0,0,,0,0,1,D20110,8982481601,GEAR ASM;CAMSHAF,ZZ,FKJ2403590,51,898248-1601,GEAR ASM; CAMSHAFT  INLET MAIN,167.16,2,180,pcs,30088.8,2019/03/04,010,0,,,,,,,,12031201,71020000,,1,,,,,0,0,0,010,0,0,0,0,THB,1,50,1,1,0,0,0,0,*,*,*,*,2019/03/04,180,1,5019030037,,2019/03/03
63261,50,A021,1,1,500000063697,50OCN0000104970,50SLD0000150271,,0,0,,,,0,0,,0,0,1,D20110,8982481601,GEAR ASM;CAMSHAF,ZZ,FBJ2402254,51,898248-1601,GEAR ASM; CAMSHAFT  INLET MAIN,167.16,2,90,pcs,15044.4,2019/03/04,010,0,,,,,,,,12031201,71020000,,1,,,,,0,0,0,010,0,0,0,0,THB,1,50,1,1,0,0,0,0,*,*,*,*,2019/03/04,90,1,5019030037,,2019/03/03
63262,50,A021,1,1,500000063698,50OCN0000104969,50SLD0000150272,,0,0,,,,0,0,,0,0,1,D20110,8982481601,GEAR ASM;CAMSHAF,ZZ,DFJ2402953,51,898248-1601,GEAR ASM; CAMSHAFT  INLET MAIN,167.16,2,30,pcs,5014.8,2019/03/04,010,0,,,,,,,,12031201,71020000,,1,,,,,0,0,0,010,0,0,0,0,THB,1,50,1,1,0,0,0,0,*,*,*,*,2019/03/04,30,1,5019030037,,2019/03/03
63263,50,A021,1,1,500000063699,50OCN0000104972,50SLD0000150273,,0,0,,,,0,0,,0,0,1,D20110,8982481612,GEAR ASM;CAM;SUB,ZZ,FKJ2403591,51,898248-1612,GEAR ASM; CAMSHAFT  INLET SUB,98.28,2,300,pcs,29484,2019/03/02,010,0,,,,,,,,12031201,71020000,,1,,,,,0,0,0,010,0,0,0,0,THB,1,50,1,1,0,0,0,0,*,*,*,*,2019/03/02,300,1,5019030031,,2019/03/03
