Inside Mgt No.,Co. code,Business pattern code,Line No.,Ref. origin type,Sales actual Mgt No.,Order Mgt No.,Sales slip No.,Ord No.,Accpt count,Receiving check No.,Chargeable supply No.,Temp. order No.,Bad disposal history slip No.,Bad disposal history correction count,Bad disposal history correction type,Exception cost history slip No.,Exception cost history correction count,Exception cost history correction type,Generation Proc type,Cust code,Cust item No.,Cust item name,Last delivery place code,Cust order No.,Plant code,Item No.,Item name,UC,UC type,Qt.,Measure unit,Amt,Sales date,Consumption tax code,Accnt interface flag,Accnt IF EXEC date,AiIF record type column value(debtor),AiIF record type column value(creditor),Ai slip type(debtor),Ai slip type(creditor),Ai issue section(debtor),Ai issue section(creditor),Ai calculation item(debtor),Ai calculation item(creditor),Ai auxiliary item(debtor),Ai auxiliary item(creditor),Ai charge division code(debtor),Ai charge division code(creditor),Ai detail summary(debtor),Ai detail summary(creditor),Ai detail outline name type,Ai consumption tax judgment type(debtor),Ai consumption tax judgment type(creditor),Accnt IF EXEC date,Including tax or Excluding tax type,Tax rates 1,Tax rates 2,Tax rates 3,Currency code,Create slip type,Slip Mgt company code,Ship returned goods flag,Gr company type,Dealings Div.,Dealings Gr type,Bad disposal type,Cost processing type,Partner code,UC Mgt company code,UC acquisition destination type,UC acquisition destination traders code,UC basic date,UC basic Qt.,Journalizing judgment type,Invoice No.,BOItype,ASIA IF EXEC date
"74334","50","A021","1","1","500000074505","50OCN0000114252","50SLD0000171969","","0","0","","","","0","0","","0","0","1","D20210","1300A033","PUMP ASSY WATER","ZZ","52M9BG5847","51","1300A033","PUMP ASSY; WATER","765.15","2","50","pcs","38257.5","2019/05/15","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/15","50","1","F119050124","","2019/05/16"
"74335","50","A021","1","1","500000074506","50OCN0000114257","50SLD0000171970","","0","0","","","","0","0","","0","0","1","D20210","1300A033","PUMP ASSY WATER","ZZ","52M9BG5848","51","1300A033","PUMP ASSY; WATER","765.15","2","55","pcs","42083.25","2019/05/16","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/16","55","1","F119050129","","2019/05/16"
"74336","50","A021","1","1","500000074507","50OCN0000114258","50SLD0000171971","","0","0","","","","0","0","","0","0","1","D20210","1300A033","PUMP ASSY WATER","ZZ","52M9BG5849","51","1300A033","PUMP ASSY; WATER","765.15","2","50","pcs","38257.5","2019/05/16","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/16","50","1","F119050132","","2019/05/16"
"74337","50","A021","1","1","500000074508","50OCN0000114270","50SLD0000171972","","0","0","","","","0","0","","0","0","1","D20210","1300A057","PUMP ASSY WATER","ZZ","52M9BG6225","51","1300A057","PUMP ASSY;WATER","662.05","2","30","pcs","19861.5","2019/05/16","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/16","30","1","F119050128","","2019/05/16"
"74338","50","A021","1","1","500000074509","50OCN0000114271","50SLD0000171973","","0","0","","","","0","0","","0","0","1","D20210","1300A057","PUMP ASSY WATER","ZZ","52M9BG6226","51","1300A057","PUMP ASSY;WATER","662.05","2","36","pcs","23833.8","2019/05/16","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/16","36","1","F119050131","","2019/05/16"
"74339","50","A021","1","1","500000074510","50OCN0000114284","50SLD0000171974","","0","0","","","","0","0","","0","0","1","D20210","1300A075","PUMP ASSY WATER","ZZ","52M9BG8748","51","1300A075","PUMP ASSY;WATER","625.52","2","5","pcs","3127.6","2019/05/15","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/15","5","1","F119050122","","2019/05/16"
"74340","50","A021","1","1","500000074511","50OCN0000114281","50SLD0000171975","","0","0","","","","0","0","","0","0","1","D20210","1300A075","PUMP ASSY WATER","ZZ","52M9BG8749","51","1300A075","PUMP ASSY;WATER","625.52","2","15","pcs","9382.8","2019/05/15","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/15","15","1","F119050124","","2019/05/16"
"74341","50","A021","1","1","500000074512","50OCN0000114285","50SLD0000171976","","0","0","","","","0","0","","0","0","1","D20210","1300A075","PUMP ASSY WATER","ZZ","52M9BG8750","51","1300A075","PUMP ASSY;WATER","625.52","2","10","pcs","6255.2","2019/05/16","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/16","10","1","F119050129","","2019/05/16"
"74342","50","A021","1","1","500000074513","50OCN0000114286","50SLD0000171977","","0","0","","","","0","0","","0","0","1","D20210","1300A075","PUMP ASSY WATER","ZZ","52M9BG8752","51","1300A075","PUMP ASSY;WATER","625.52","2","5","pcs","3127.6","2019/05/16","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/16","5","1","F119050132","","2019/05/16"
"74343","50","A021","1","1","500000074514","50OCN0000114600","50SLD0000171978","","0","0","","","","0","0","","0","0","1","D20220","1300A126","PUMP ASSY;WATER","ZZ","52M9017131","51","1300A126","WATER PUMP ASSY","645.02","2","30","pcs","19350.6","2019/05/15","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/05/15","30","1","F119050114","","2019/05/16"
