Inside Mgt No.,Co. code,Business pattern code,Line No.,Ref. origin type,Sales actual Mgt No.,Order Mgt No.,Sales slip No.,Ord No.,Accpt count,Receiving check No.,Chargeable supply No.,Temp. order No.,Bad disposal history slip No.,Bad disposal history correction count,Bad disposal history correction type,Exception cost history slip No.,Exception cost history correction count,Exception cost history correction type,Generation Proc type,Cust code,Cust item No.,Cust item name,Last delivery place code,Cust order No.,Plant code,Item No.,Item name,UC,UC type,Qt.,Measure unit,Amt,Sales date,Consumption tax code,Accnt interface flag,Accnt IF EXEC date,AiIF record type column value(debtor),AiIF record type column value(creditor),Ai slip type(debtor),Ai slip type(creditor),Ai issue section(debtor),Ai issue section(creditor),Ai calculation item(debtor),Ai calculation item(creditor),Ai auxiliary item(debtor),Ai auxiliary item(creditor),Ai charge division code(debtor),Ai charge division code(creditor),Ai detail summary(debtor),Ai detail summary(creditor),Ai detail outline name type,Ai consumption tax judgment type(debtor),Ai consumption tax judgment type(creditor),Accnt IF EXEC date,Including tax or Excluding tax type,Tax rates 1,Tax rates 2,Tax rates 3,Currency code,Create slip type,Slip Mgt company code,Ship returned goods flag,Gr company type,Dealings Div.,Dealings Gr type,Bad disposal type,Cost processing type,Partner code,UC Mgt company code,UC acquisition destination type,UC acquisition destination traders code,UC basic date,UC basic Qt.,Journalizing judgment type,Invoice No.,BOItype,ASIA IF EXEC date
"68671","50","A021","1","1","500000068976","50OCN0000110312","50SLD0000161093","","0","0","","","","0","0","","0","0","1","D20110","8983518020","GEAR;CRANKSHAFT","ZZ","FKJ4400112","51","898351-8020","GEAR;CRANK","265.29","2","360","pcs","95504.4","2019/04/04","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/04","360","1","5019040073","","2019/04/04"
"68672","50","A021","1","1","500000068977","50OCN0000110317","50SLD0000161094","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","FKJ4400114","51","898351-8040","GEAR;SUPPLY PUMP","204","2","255","pcs","52020","2019/04/04","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/04","255","1","5019040073","","2019/04/04"
"68673","50","A021","1","1","500000068978","50OCN0000110357","50SLD0000161095","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","FKJ4400274","51","898351-8040","GEAR;SUPPLY PUMP","204","2","180","pcs","36720","2019/04/04","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/04","180","1","5019040073","","2019/04/04"
"68674","50","A021","1","1","500000068979","50OCN0000110315","50SLD0000161096","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","DFJ4400145","51","898351-8040","GEAR;SUPPLY PUMP","204","2","135","pcs","27540","2019/04/04","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/04","135","1","5019040073","","2019/04/04"
"68675","50","A021","1","1","500000068980","50OCN0000110356","50SLD0000161097","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","DFJ4400331","51","898351-8040","GEAR;SUPPLY PUMP","204","2","90","pcs","18360","2019/04/04","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/04","90","1","5019040073","","2019/04/04"
"68676","50","A021","1","1","500000068981","50OCN0000110316","50SLD0000161098","","0","0","","","","0","0","","0","0","1","D20110","8983518040","GEAR;INJ PUMP","ZZ","FBJ4400058","51","898351-8040","GEAR;SUPPLY PUMP","204","2","15","pcs","3060","2019/04/04","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/04","15","1","5019040073","","2019/04/04"
"68677","50","A021","1","1","500000068982","50OCN0000106544","50SLD0000161099","","0","0","","","","0","0","","0","0","1","D20130","8983518350","OIL PUMP ASSY","ZZ","1K2B542800","51","898351-8350-SP","OIL PUMP ASSY","936.39","2","3","pcs","2809.17","2019/04/03","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/03","3","1","5019040061","","2019/04/04"
"68678","50","A021","1","1","500000068983","50OCN0000110111","50SLD0000161100","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","DFJ3403544","51","898382-8360","WATER PUMP ASSY","449.87","2","200","pcs","89974","2019/04/03","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/03","200","1","5019040052","","2019/04/04"
"68679","50","A021","1","1","500000068984","50OCN0000110112","50SLD0000161101","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","FBJ3403459","51","898382-8360","WATER PUMP ASSY","449.87","2","100","pcs","44987","2019/04/03","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/03","100","1","5019040052","","2019/04/04"
"68680","50","A021","1","1","500000068985","50OCN0000110318","50SLD0000161102","","0","0","","","","0","0","","0","0","1","D20110","8983828360","PUMP ASM;WATER","ZZ","DFJ4400146","51","898382-8360","WATER PUMP ASSY","449.87","2","100","pcs","44987","2019/04/03","010","0","","","","","","","","12031201","71020000","","1","","","","","0","0","0","010","0","0","0","0","THB","1","50","1","1","0","0","0","0","*","*","*","*","2019/04/03","100","1","5019040052","","2019/04/04"
